State,Year,Price,President
Aguascalientes,1980,74478.826,No data
Baja California,1980,400156.971,No data
Baja California Sur,1980,53015.906,No data
Campeche,1980,511362.336,No data
Coahuila de Zaragoza,1980,362298.762,No data
Colima,1980,63715.01,No data
Chiapas,1980,200061.47,No data
Chihuahua,1980,303189.898,No data
Ciudad de México,1980,1831598.702,No data
Durango,1980,138131.749,No data
Guanajuato,1980,368213.095,No data
Guerrero,1980,193774.993,No data
Hidalgo,1980,211376.521,No data
Jalisco,1980,770276.62,No data
México,1980,937705.105,No data
Michoacán de Ocampo,1980,260181.052,No data
Morelos,1980,130212.646,No data
Nayarit,1980,78660.796,No data
Nuevo León,1980,617991.08,No data
Oaxaca,1980,244741.172,No data
Puebla,1980,308397.163,No data
Querétaro,1980,175561.876,No data
Quintana Roo,1980,91703.466,No data
San Luis Potosí,1980,186212.873,No data
Sinaloa,1980,255449.731,No data
Sonora,1980,310677.357,No data
Tabasco,1980,270117.127,No data
Tamaulipas,1980,301661.539,No data
Tlaxcala,1980,62461.652,No data
Veracruz de Ignacio de la Llave,1980,598151.443,No data
Yucatán,1980,128858.195,No data
Zacatecas,1980,75634.11,No data
Aguascalientes,1981,82816.058,No data
Baja California,1981,451676.827,No data
Baja California Sur,1981,57736.199,No data
Campeche,1981,560971.276,No data
Coahuila de Zaragoza,1981,401419.87,No data
Colima,1981,69001.929,No data
Chiapas,1981,212022.284,No data
Chihuahua,1981,336143.547,No data
Ciudad de México,1981,2023097.662,No data
Durango,1981,149622.29,No data
Guanajuato,1981,405438.439,No data
Guerrero,1981,203265.673,No data
Hidalgo,1981,231728.335,No data
Jalisco,1981,842629.981,No data
México,1981,1021972.175,No data
Michoacán de Ocampo,1981,279519.429,No data
Morelos,1981,140542.558,No data
Nayarit,1981,85476.368,No data
Nuevo León,1981,688550.973,No data
Oaxaca,1981,262007.269,No data
Puebla,1981,336057.021,No data
Querétaro,1981,198478.89,No data
Quintana Roo,1981,99980.216,No data
San Luis Potosí,1981,204513.595,No data
Sinaloa,1981,277443.379,No data
Sonora,1981,345288.324,No data
Tabasco,1981,294253.549,No data
Tamaulipas,1981,330920.502,No data
Tlaxcala,1981,68018.688,No data
Veracruz de Ignacio de la Llave,1981,642816.177,No data
Yucatán,1981,139814.095,No data
Zacatecas,1981,80855.522,No data
Aguascalientes,1982,83133.483,No data
Baja California,1982,446781.453,No data
Baja California Sur,1982,58188.199,No data
Campeche,1982,559721.988,No data
Coahuila de Zaragoza,1982,400947.441,No data
Colima,1982,69593.669,No data
Chiapas,1982,213802.066,No data
Chihuahua,1982,334520.594,No data
Ciudad de México,1982,2017375.623,No data
Durango,1982,148864.493,No data
Guanajuato,1982,405843.987,No data
Guerrero,1982,204231.274,No data
Hidalgo,1982,231940.424,No data
Jalisco,1982,842329.339,No data
México,1982,1020962.549,No data
Michoacán de Ocampo,1982,282663.393,No data
Morelos,1982,140692.478,No data
Nayarit,1982,85672.9,No data
Nuevo León,1982,689748.596,No data
Oaxaca,1982,262454.683,No data
Puebla,1982,336332.435,No data
Querétaro,1982,197183.528,No data
Quintana Roo,1982,99390.222,No data
San Luis Potosí,1982,203667.928,No data
Sinaloa,1982,277301.134,No data
Sonora,1982,342667.231,No data
Tabasco,1982,294532.487,No data
Tamaulipas,1982,331231.125,No data
Tlaxcala,1982,68237.902,No data
Veracruz de Ignacio de la Llave,1982,646101.093,No data
Yucatán,1982,140424.337,No data
Zacatecas,1982,81826.676,No data
Aguascalientes,1983,78800.571,No data
Baja California,1983,406200.113,No data
Baja California Sur,1983,57232.819,No data
Campeche,1983,523134.528,No data
Coahuila de Zaragoza,1983,372296.472,No data
Colima,1983,68026.277,No data
Chiapas,1983,211467.23,No data
Chihuahua,1983,315609.482,No data
Ciudad de México,1983,1937032.27,No data
Durango,1983,142374.332,No data
Guanajuato,1983,386976.711,No data
Guerrero,1983,201102.472,No data
Hidalgo,1983,219671.138,No data
Jalisco,1983,803836.743,No data
México,1983,975680.885,No data
Michoacán de Ocampo,1983,277660.717,No data
Morelos,1983,135296.83,No data
Nayarit,1983,83101.881,No data
Nuevo León,1983,650982.133,No data
Oaxaca,1983,254205.73,No data
Puebla,1983,320161.124,No data
Querétaro,1983,179814.669,No data
Quintana Roo,1983,95478.357,No data
San Luis Potosí,1983,192541.554,No data
Sinaloa,1983,269176.196,No data
Sonora,1983,318569.226,No data
Tabasco,1983,281657.89,No data
Tamaulipas,1983,313171.267,No data
Tlaxcala,1983,65651.448,No data
Veracruz de Ignacio de la Llave,1983,630969.855,No data
Yucatán,1983,136385.792,No data
Zacatecas,1983,81474.093,No data
Aguascalientes,1984,82466.825,No data
Baja California,1984,425488.625,No data
Baja California Sur,1984,59391.459,No data
Campeche,1984,546199.162,No data
Coahuila de Zaragoza,1984,388155.755,No data
Colima,1984,70501.031,No data
Chiapas,1984,217413.498,No data
Chihuahua,1984,327938.867,No data
Ciudad de México,1984,1992078.797,No data
Durango,1984,146541.785,No data
Guanajuato,1984,401802.461,No data
Guerrero,1984,205097.447,No data
Hidalgo,1984,227993.872,No data
Jalisco,1984,831613.821,No data
México,1984,1005942.034,No data
Michoacán de Ocampo,1984,287279.898,No data
Morelos,1984,139636.052,No data
Nayarit,1984,85770.444,No data
Nuevo León,1984,680103.575,No data
Oaxaca,1984,261329.743,No data
Puebla,1984,332213.538,No data
Querétaro,1984,188626.446,No data
Quintana Roo,1984,98611.552,No data
San Luis Potosí,1984,199365.178,No data
Sinaloa,1984,277534.929,No data
Sonora,1984,331187.849,No data
Tabasco,1984,292093.515,No data
Tamaulipas,1984,326251.16,No data
Tlaxcala,1984,67937.155,No data
Veracruz de Ignacio de la Llave,1984,650194.98,No data
Yucatán,1984,140916.064,No data
Zacatecas,1984,84037.773,No data
Aguascalientes,1985,84980.153,No data
Baja California,1985,437529.217,No data
Baja California Sur,1985,60739.522,No data
Campeche,1985,566378.356,No data
Coahuila de Zaragoza,1985,399779.403,No data
Colima,1985,72487.649,No data
Chiapas,1985,221924.469,No data
Chihuahua,1985,336124.562,No data
Ciudad de México,1985,1989027.993,No data
Durango,1985,149331.258,No data
Guanajuato,1985,411054.671,No data
Guerrero,1985,207963.999,No data
Hidalgo,1985,234155.256,No data
Jalisco,1985,848102.532,No data
México,1985,1019987.938,No data
Michoacán de Ocampo,1985,294893.038,No data
Morelos,1985,142764.341,No data
Nayarit,1985,87404.626,No data
Nuevo León,1985,697456.76,No data
Oaxaca,1985,266421.896,No data
Puebla,1985,341115.831,No data
Querétaro,1985,194642.252,No data
Quintana Roo,1985,100014.657,No data
San Luis Potosí,1985,203356.617,No data
Sinaloa,1985,283610.763,No data
Sonora,1985,340299.333,No data
Tabasco,1985,299283.011,No data
Tamaulipas,1985,336626.475,No data
Tlaxcala,1985,69470.168,No data
Veracruz de Ignacio de la Llave,1985,663322.167,No data
Yucatán,1985,143685.351,No data
Zacatecas,1985,86028.782,No data
Aguascalientes,1986,81602.733,No data
Baja California,1986,402275.154,No data
Baja California Sur,1986,59879.334,No data
Campeche,1986,548649.862,No data
Coahuila de Zaragoza,1986,375949.169,No data
Colima,1986,71375.438,No data
Chiapas,1986,221017.022,No data
Chihuahua,1986,318334.844,No data
Ciudad de México,1986,1890532.204,No data
Durango,1986,144410.954,No data
Guanajuato,1986,395223.704,No data
Guerrero,1986,205355.227,No data
Hidalgo,1986,225346.551,No data
Jalisco,1986,816419.424,No data
México,1986,979495.371,No data
Michoacán de Ocampo,1986,291491.817,No data
Morelos,1986,139069.037,No data
Nayarit,1986,84854.899,No data
Nuevo León,1986,665305.117,No data
Oaxaca,1986,260431.738,No data
Puebla,1986,329437.38,No data
Querétaro,1986,181294.454,No data
Quintana Roo,1986,97316.339,No data
San Luis Potosí,1986,194413.403,No data
Sinaloa,1986,275432.429,No data
Sonora,1986,319284.907,No data
Tabasco,1986,291678.089,No data
Tamaulipas,1986,322702.867,No data
Tlaxcala,1986,67563.429,No data
Veracruz de Ignacio de la Llave,1986,652268.475,No data
Yucatán,1986,140308.631,No data
Zacatecas,1986,85762.145,No data
Aguascalientes,1987,84379.078,No data
Baja California,1987,414361.763,No data
Baja California Sur,1987,61326.62,No data
Campeche,1987,570391.173,No data
Coahuila de Zaragoza,1987,384635.713,No data
Colima,1987,73308.392,No data
Chiapas,1987,225978.77,No data
Chihuahua,1987,325130.196,No data
Ciudad de México,1987,1896703.477,No data
Durango,1987,147319.56,No data
Guanajuato,1987,404826.527,No data
Guerrero,1987,208160.52,No data
Hidalgo,1987,231205.142,No data
Jalisco,1987,833612.505,No data
México,1987,995129.263,No data
Michoacán de Ocampo,1987,299033.717,No data
Morelos,1987,142350.99,No data
Nayarit,1987,86636.841,No data
Nuevo León,1987,683097.92,No data
Oaxaca,1987,265500.815,No data
Puebla,1987,338783.405,No data
Querétaro,1987,186881.167,No data
Quintana Roo,1987,99925.011,No data
San Luis Potosí,1987,198907.789,No data
Sinaloa,1987,281418.354,No data
Sonora,1987,327130.427,No data
Tabasco,1987,299962.761,No data
Tamaulipas,1987,331968.011,No data
Tlaxcala,1987,68998.903,No data
Veracruz de Ignacio de la Llave,1987,665977.182,No data
Yucatán,1987,143337.162,No data
Zacatecas,1987,87847.798,No data
Aguascalientes,1988,86482.199,No data
Baja California,1988,417816.039,No data
Baja California Sur,1988,62347.413,No data
Campeche,1988,588026.452,No data
Coahuila de Zaragoza,1988,387781.177,No data
Colima,1988,74614.039,No data
Chiapas,1988,230321.523,No data
Chihuahua,1988,326595.354,No data
Ciudad de México,1988,1897079.434,No data
Durango,1988,149135.741,No data
Guanajuato,1988,410582.652,No data
Guerrero,1988,210190.995,No data
Hidalgo,1988,235179.785,No data
Jalisco,1988,843957.151,No data
México,1988,1005115.817,No data
Michoacán de Ocampo,1988,304548.069,No data
Morelos,1988,144824.194,No data
Nayarit,1988,87659.176,No data
Nuevo León,1988,694487.692,No data
Oaxaca,1988,268784.772,No data
Puebla,1988,344990.458,No data
Querétaro,1988,189848.458,No data
Quintana Roo,1988,102517.019,No data
San Luis Potosí,1988,201730.855,No data
Sinaloa,1988,283922.528,No data
Sonora,1988,329333.277,No data
Tabasco,1988,306785.499,No data
Tamaulipas,1988,336905.194,No data
Tlaxcala,1988,69999.494,No data
Veracruz de Ignacio de la Llave,1988,676135.841,No data
Yucatán,1988,145505.231,No data
Zacatecas,1988,89469.397,No data
Aguascalientes,1989,91061.619,No data
Baja California,1989,436724.078,No data
Baja California Sur,1989,65210.463,No data
Campeche,1989,614610.518,No data
Coahuila de Zaragoza,1989,400158.299,No data
Colima,1989,76928.025,No data
Chiapas,1989,237262.252,No data
Chihuahua,1989,336951.958,No data
Ciudad de México,1989,1966175.114,No data
Durango,1989,153874.107,No data
Guanajuato,1989,426219.87,No data
Guerrero,1989,214534.793,No data
Hidalgo,1989,243977.914,No data
Jalisco,1989,872756.704,No data
México,1989,1039567.689,No data
Michoacán de Ocampo,1989,313917.509,No data
Morelos,1989,149798.346,No data
Nayarit,1989,90779.724,No data
Nuevo León,1989,725048.317,No data
Oaxaca,1989,276217.638,No data
Puebla,1989,357570.479,No data
Querétaro,1989,198639.217,No data
Quintana Roo,1989,107924.653,No data
San Luis Potosí,1989,209760.856,No data
Sinaloa,1989,292598.806,No data
Sonora,1989,341157.465,No data
Tabasco,1989,319254.887,No data
Tamaulipas,1989,348522.485,No data
Tlaxcala,1989,72350.801,No data
Veracruz de Ignacio de la Llave,1989,697097.94,No data
Yucatán,1989,150564.737,No data
Zacatecas,1989,92479.173,No data
Aguascalientes,1990,97895.019,No data
Baja California,1990,467382.396,No data
Baja California Sur,1990,67808.264,No data
Campeche,1990,649387.919,No data
Coahuila de Zaragoza,1990,423114.632,No data
Colima,1990,80232.039,No data
Chiapas,1990,246057.654,No data
Chihuahua,1990,357492.572,No data
Ciudad de México,1990,2060708.474,No data
Durango,1990,160987.57,No data
Guanajuato,1990,449866.898,No data
Guerrero,1990,221373.566,No data
Hidalgo,1990,258198.406,No data
Jalisco,1990,915367.582,No data
México,1990,1090095.097,No data
Michoacán de Ocampo,1990,326993.653,No data
Morelos,1990,156870.667,No data
Nayarit,1990,96157.214,No data
Nuevo León,1990,769293.924,No data
Oaxaca,1990,288209.053,No data
Puebla,1990,375451.267,No data
Querétaro,1990,213298.179,No data
Quintana Roo,1990,114991.925,No data
San Luis Potosí,1990,222175.786,No data
Sinaloa,1990,308943.744,No data
Sonora,1990,365246.871,No data
Tabasco,1990,335679.74,No data
Tamaulipas,1990,367555.948,No data
Tlaxcala,1990,76003.554,No data
Veracruz de Ignacio de la Llave,1990,727876.67,No data
Yucatán,1990,157851.869,No data
Zacatecas,1990,96917.509,No data
Aguascalientes,1991,103728.741,No data
Baja California,1991,487452.211,No data
Baja California Sur,1991,71483.582,No data
Campeche,1991,671524.501,No data
Coahuila de Zaragoza,1991,437256.445,No data
Colima,1991,82613.489,No data
Chiapas,1991,253835.721,No data
Chihuahua,1991,370983.422,No data
Ciudad de México,1991,2161707.696,No data
Durango,1991,165970.863,No data
Guanajuato,1991,467278.457,No data
Guerrero,1991,226957.173,No data
Hidalgo,1991,269826.384,No data
Jalisco,1991,947456.149,No data
México,1991,1131899.307,No data
Michoacán de Ocampo,1991,336933.925,No data
Morelos,1991,161946.756,No data
Nayarit,1991,100823.095,No data
Nuevo León,1991,803906.221,No data
Oaxaca,1991,297421.954,No data
Puebla,1991,385949.837,No data
Querétaro,1991,224437.967,No data
Quintana Roo,1991,122000.95,No data
San Luis Potosí,1991,231723.191,No data
Sinaloa,1991,320499.134,No data
Sonora,1991,381781.173,No data
Tabasco,1991,349833.294,No data
Tamaulipas,1991,377819.949,No data
Tlaxcala,1991,79411.943,No data
Veracruz de Ignacio de la Llave,1991,754565.225,No data
Yucatán,1991,164029.897,No data
Zacatecas,1991,101223.598,No data
Aguascalientes,1992,109843.958,No data
Baja California,1992,511546.295,No data
Baja California Sur,1992,74828.893,No data
Campeche,1992,692158.838,No data
Coahuila de Zaragoza,1992,460053.092,No data
Colima,1992,84539.724,No data
Chiapas,1992,262154.117,No data
Chihuahua,1992,385367.509,No data
Ciudad de México,1992,2235098.068,No data
Durango,1992,169449.991,No data
Guanajuato,1992,482646.44,No data
Guerrero,1992,231080.66,No data
Hidalgo,1992,282923.737,No data
Jalisco,1992,976925.373,No data
México,1992,1168758.364,No data
Michoacán de Ocampo,1992,344014.905,No data
Morelos,1992,166653.195,No data
Nayarit,1992,105565.162,No data
Nuevo León,1992,838399.236,No data
Oaxaca,1992,307185.322,No data
Puebla,1992,395756.54,No data
Querétaro,1992,239270.704,No data
Quintana Roo,1992,129251.814,No data
San Luis Potosí,1992,240115.625,No data
Sinaloa,1992,327922.167,No data
Sonora,1992,401565.199,No data
Tabasco,1992,362566.507,No data
Tamaulipas,1992,388740.61,No data
Tlaxcala,1992,82727.754,No data
Veracruz de Ignacio de la Llave,1992,777545.07,No data
Yucatán,1992,169412.962,No data
Zacatecas,1992,105714.439,No data
Aguascalientes,1993,114706.122,No data
Baja California,1993,513177.249,No data
Baja California Sur,1993,72837.861,No data
Campeche,1993,687476.866,No data
Coahuila de Zaragoza,1993,470418.456,No data
Colima,1993,86396.612,No data
Chiapas,1993,271140.547,No data
Chihuahua,1993,399928.053,No data
Ciudad de México,1993,2354923.799,No data
Durango,1993,172783.065,No data
Guanajuato,1993,496878.472,No data
Guerrero,1993,231366.829,No data
Hidalgo,1993,291315.292,No data
Jalisco,1993,1001233.106,No data
México,1993,1201586.797,No data
Michoacán de Ocampo,1993,342922.975,No data
Morelos,1993,173068.497,No data
Nayarit,1993,109103.474,No data
Nuevo León,1993,870417.876,No data
Oaxaca,1993,313397.486,No data
Puebla,1993,405919.866,No data
Querétaro,1993,249996.002,No data
Quintana Roo,1993,135856.072,No data
San Luis Potosí,1993,247556.065,No data
Sinaloa,1993,337214.92,No data
Sonora,1993,412351.751,No data
Tabasco,1993,374781.921,No data
Tamaulipas,1993,393413.027,No data
Tlaxcala,1993,84565.457,No data
Veracruz de Ignacio de la Llave,1993,795130.741,No data
Yucatán,1993,175790.252,No data
Zacatecas,1993,109452.145,No data
Aguascalientes,1994,121683.61,No data
Baja California,1994,548270.478,No data
Baja California Sur,1994,75145.064,No data
Campeche,1994,713798.595,No data
Coahuila de Zaragoza,1994,479739.942,No data
Colima,1994,90021.397,No data
Chiapas,1994,281576.824,No data
Chihuahua,1994,417236.559,No data
Ciudad de México,1994,2448263.341,No data
Durango,1994,181317.13,No data
Guanajuato,1994,515053.908,No data
Guerrero,1994,244535.125,No data
Hidalgo,1994,297707.217,No data
Jalisco,1994,1031966.723,No data
México,1994,1239027.57,No data
Michoacán de Ocampo,1994,364984.886,No data
Morelos,1994,176584.993,No data
Nayarit,1994,112712.606,No data
Nuevo León,1994,916740.227,No data
Oaxaca,1994,344896.493,No data
Puebla,1994,425377.902,No data
Querétaro,1994,266657.533,No data
Quintana Roo,1994,140495.158,No data
San Luis Potosí,1994,264259.318,No data
Sinaloa,1994,344143.941,No data
Sonora,1994,446592.628,No data
Tabasco,1994,375021.806,No data
Tamaulipas,1994,419239.836,No data
Tlaxcala,1994,87364.992,No data
Veracruz de Ignacio de la Llave,1994,837586.157,No data
Yucatán,1994,187126.784,No data
Zacatecas,1994,112635.597,No data
Aguascalientes,1995,116418.715,Ernesto Zedillo
Baja California,1995,494337.737,Ernesto Zedillo
Baja California Sur,1995,72405.422,Ernesto Zedillo
Campeche,1995,678258.361,Ernesto Zedillo
Coahuila de Zaragoza,1995,466715.135,Ernesto Zedillo
Colima,1995,85408.456,Ernesto Zedillo
Chiapas,1995,280089.472,Ernesto Zedillo
Chihuahua,1995,403134.639,Ernesto Zedillo
Ciudad de México,1995,2292168.752,Ernesto Zedillo
Durango,1995,174420.963,Ernesto Zedillo
Guanajuato,1995,498677.804,Ernesto Zedillo
Guerrero,1995,228791.872,Ernesto Zedillo
Hidalgo,1995,255701.636,Ernesto Zedillo
Jalisco,1995,952802.192,Ernesto Zedillo
México,1995,1148484.717,Ernesto Zedillo
Michoacán de Ocampo,1995,357772.256,Ernesto Zedillo
Morelos,1995,157617.989,Ernesto Zedillo
Nayarit,1995,98045.993,Ernesto Zedillo
Nuevo León,1995,853356.8,Ernesto Zedillo
Oaxaca,1995,306954.506,Ernesto Zedillo
Puebla,1995,390625.793,Ernesto Zedillo
Querétaro,1995,249677.708,Ernesto Zedillo
Quintana Roo,1995,134354.565,Ernesto Zedillo
San Luis Potosí,1995,237666.352,Ernesto Zedillo
Sinaloa,1995,327570.369,Ernesto Zedillo
Sonora,1995,427732.851,Ernesto Zedillo
Tabasco,1995,375082.821,Ernesto Zedillo
Tamaulipas,1995,391818.081,Ernesto Zedillo
Tlaxcala,1995,83622.143,Ernesto Zedillo
Veracruz de Ignacio de la Llave,1995,819429.085,Ernesto Zedillo
