President,State,Start,End,GrowthPerState
AMLO,Aguascalientes,329358.364,328087.965,-0.38571936797693585
AMLO,Baja California,893946.249,947677.009,6.010513502361596
AMLO,Baja California Sur,177860.75,187152.161,5.223980557824024
AMLO,Campeche,541962.926,473399.457,-12.650951884483696
AMLO,Chiapas,348914.392,389794.852,11.71647284758607
AMLO,Chihuahua,866861.299,930854.91,7.3822203244996905
AMLO,Ciudad de México,3679917.346,3885956.593,5.599018337299362
AMLO,Coahuila de Zaragoza,953384.334,922286.189,-3.26186868096786
AMLO,Colima,161109.858,157139.889,-2.4641378555494793
AMLO,Durango,309426.436,323802.357,4.645989911476094
AMLO,Guanajuato,1099063.445,1170675.898,6.515770615953838
AMLO,Guerrero,317146.825,314019.724,-0.9860105016028535
AMLO,Hidalgo,409266.416,454116.317,10.958607705548932
AMLO,Jalisco,1767123.319,1864059.172,5.485517165539714
AMLO,Michoacán de Ocampo,635628.201,681445.83,7.208243581376269
AMLO,Morelos,269686.001,271218.84,0.5683791499433581
AMLO,México,2209647.064,2313164.328,4.684787253427204
AMLO,Nayarit,157163.253,159749.672,1.6456894029802211
AMLO,Nuevo León,1918825.006,2059995.565,7.35713567201656
AMLO,Oaxaca,367363.646,467374.413,27.223915074057164
AMLO,Puebla,856910.727,882359.631,2.969843088450461
AMLO,Querétaro,609108.252,621620.129,2.0541302730536604
AMLO,Quintana Roo,376757.268,383116.448,1.6878718846639458
AMLO,San Luis Potosí,534391.92,579636.262,8.466509373869265
AMLO,Sinaloa,522342.467,514385.484,-1.5233268406644807
AMLO,Sonora,783103.494,822556.904,5.038083765719993
AMLO,Tabasco,445870.998,605206.515,35.735788538549436
AMLO,Tamaulipas,752813.525,764735.773,1.5836920570734991
AMLO,Tlaxcala,147876.82,151512.669,2.458701100010121
AMLO,Veracruz de Ignacio de la Llave,1053328.002,1094822.174,3.939340065128167
AMLO,Yucatán,365825.755,402785.746,10.10316810526366
AMLO,Zacatecas,219746.547,240511.776,9.449626983217179
Ernesto Zedillo,Aguascalientes,116418.715,158299.884,35.97460167808929
Ernesto Zedillo,Baja California,494337.737,790646.793,59.94061019865047
Ernesto Zedillo,Baja California Sur,72405.422,95187.276,31.464292826026192
Ernesto Zedillo,Campeche,678258.361,826278.19,21.823517041760418
Ernesto Zedillo,Chiapas,280089.472,309796.913,10.606411154218604
Ernesto Zedillo,Chihuahua,403134.639,581263.822,44.18602763629052
Ernesto Zedillo,Ciudad de México,2292168.752,2903708.822,26.679539604857172
Ernesto Zedillo,Coahuila de Zaragoza,466715.135,655490.87,40.44774228288097
Ernesto Zedillo,Colima,85408.456,110550.51,29.437429474196307
Ernesto Zedillo,Durango,174420.963,208654.022,19.6266884502868
Ernesto Zedillo,Guanajuato,498677.804,653601.346,31.066861359644555
Ernesto Zedillo,Guerrero,228791.872,256193.563,11.976689014546807
Ernesto Zedillo,Hidalgo,255701.636,337331.454,31.923854409754355
Ernesto Zedillo,Jalisco,952802.192,1259069.606,32.14386118876602
Ernesto Zedillo,Michoacán de Ocampo,357772.256,451793.037,26.27950586531786
Ernesto Zedillo,Morelos,157617.989,206506.907,31.017346630402702
Ernesto Zedillo,México,1148484.717,1560108.787,35.84062233542112
Ernesto Zedillo,Nayarit,98045.993,115655.771,17.96073195974464
Ernesto Zedillo,Nuevo León,853356.8,1212180.744,42.0485246030734
Ernesto Zedillo,Oaxaca,306954.506,355730.604,15.890334576160287
Ernesto Zedillo,Puebla,390625.793,563688.529,44.30397047539561
Ernesto Zedillo,Querétaro,249677.708,368560.567,47.61452672418795
Ernesto Zedillo,Quintana Roo,134354.565,180224.21,34.14074170088674
Ernesto Zedillo,San Luis Potosí,237666.352,310464.565,30.630424705639435
Ernesto Zedillo,Sinaloa,327570.369,391566.997,19.536757306641483
Ernesto Zedillo,Sonora,427732.851,591564.059,38.30222710670404
Ernesto Zedillo,Tabasco,375082.821,425906.505,13.54998980345197
Ernesto Zedillo,Tamaulipas,391818.081,565664.824,44.36924976925708
Ernesto Zedillo,Tlaxcala,83622.143,112212.235,34.189618890776345
Ernesto Zedillo,Veracruz de Ignacio de la Llave,819429.085,896917.145,9.456347281107316
Ernesto Zedillo,Yucatán,175941.945,232449.318,32.11705599821577
Ernesto Zedillo,Zacatecas,115226.865,124586.508,8.122795842792387
Felipe Calderón,Aguascalientes,219091.899,242758.409,10.802092687142215
Felipe Calderón,Baja California,778767.048,726418.106,-6.722028382484916
Felipe Calderón,Baja California Sur,137545.255,147269.702,7.069998161695934
Felipe Calderón,Campeche,897799.855,691262.004,-23.00488798809174
Felipe Calderón,Chiapas,324676.532,370237.305,14.032665902689875
Felipe Calderón,Chihuahua,664331.063,711480.757,7.097318886020541
Felipe Calderón,Ciudad de México,3142463.801,3332208.721,6.038094056632219
Felipe Calderón,Coahuila de Zaragoza,819995.32,870634.531,6.175548782400369
Felipe Calderón,Colima,122046.013,135599.865,11.105526241156264
Felipe Calderón,Durango,248235.605,286058.274,15.236601131413025
Felipe Calderón,Guanajuato,778043.648,892378.879,14.6952206722469
Felipe Calderón,Guerrero,287333.396,294551.278,2.5120233500459457
Felipe Calderón,Hidalgo,359175.954,379811.021,5.745113716604753
Felipe Calderón,Jalisco,1380125.917,1488616.797,7.860940705745774
Felipe Calderón,Michoacán de Ocampo,499362.052,531827.401,6.501364865426323
Felipe Calderón,Morelos,237033.907,248100.471,4.668768337856399
Felipe Calderón,México,1755709.482,1911401.717,8.867767509157867
Felipe Calderón,Nayarit,133768.031,142897.855,6.82511653326199
Felipe Calderón,Nuevo León,1532409.515,1621930.271,5.841829819230799
Felipe Calderón,Oaxaca,378474.41,386537.7,2.1304716480039003
Felipe Calderón,Puebla,674599.97,747711.785,10.837802883388813
Felipe Calderón,Querétaro,451359.319,526760.646,16.705388329425393
Felipe Calderón,Quintana Roo,253901.251,280380.539,10.428971064817636
Felipe Calderón,San Luis Potosí,382599.136,437595.484,14.374404651034025
Felipe Calderón,Sinaloa,431732.231,466781.777,8.118352877851265
Felipe Calderón,Sonora,614338.181,681378.519,10.9126113390631
Felipe Calderón,Tabasco,490366.571,595176.484,21.3737883449645
Felipe Calderón,Tamaulipas,670947.628,676616.007,0.8448318115225466
Felipe Calderón,Tlaxcala,118240.101,128974.598,9.078558720107997
Felipe Calderón,Veracruz de Ignacio de la Llave,1024390.917,1084722.594,5.8895169801666665
Felipe Calderón,Yucatán,276668.944,299649.182,8.306041750750296
Felipe Calderón,Zacatecas,165494.332,201298.32,21.634570542270907
No data,Aguascalientes,74478.826,121683.61,63.38013974602661
No data,Baja California,400156.971,548270.478,37.01385149679174
No data,Baja California Sur,53015.906,75145.064,41.740601396116844
No data,Campeche,511362.336,713798.595,39.587635762051896
No data,Chiapas,200061.47,281576.824,40.7451539769252
No data,Chihuahua,303189.898,417236.559,37.61558737685912
No data,Ciudad de México,1831598.702,2448263.341,33.66810853964014
No data,Coahuila de Zaragoza,362298.762,479739.942,32.41556204931222
No data,Colima,63715.01,90021.397,41.287581999908646
No data,Durango,138131.749,181317.13,31.263906605569723
No data,Guanajuato,368213.095,515053.908,39.879302228509836
No data,Guerrero,193774.993,244535.125,26.19539870142068
No data,Hidalgo,211376.521,297707.217,40.842140646264106
No data,Jalisco,770276.62,1031966.723,33.97352278458094
No data,Michoacán de Ocampo,260181.052,364984.886,40.28111701231802
No data,Morelos,130212.646,176584.993,35.61278295504417
No data,México,937705.105,1239027.57,32.13403269250625
No data,Nayarit,78660.796,112712.606,43.289429717949965
No data,Nuevo León,617991.08,916740.227,48.34198367393911
No data,Oaxaca,244741.172,344896.493,40.92295553769761
No data,Puebla,308397.163,425377.902,37.93184666877107
No data,Querétaro,175561.876,266657.533,51.88806310089783
No data,Quintana Roo,91703.466,140495.158,53.205940983735545
No data,San Luis Potosí,186212.873,264259.318,41.91248636177803
No data,Sinaloa,255449.731,344143.941,34.7208077506255
No data,Sonora,310677.357,446592.628,43.74804533952566
No data,Tabasco,270117.127,375021.806,38.83673729433677
No data,Tamaulipas,301661.539,419239.836,38.97689357077769
No data,Tlaxcala,62461.652,87364.992,39.869806837641754
No data,Veracruz de Ignacio de la Llave,598151.443,837586.157,40.029112493506105
No data,Yucatán,128858.195,187126.784,45.219156608549426
No data,Zacatecas,75634.11,112635.597,48.9216928711133
Peña Nieto,Aguascalientes,251657.007,327926.307,30.306845380228157
Peña Nieto,Baja California,733753.711,878816.868,19.770006587401095
Peña Nieto,Baja California Sur,145215.69,184618.103,27.133716060571693
Peña Nieto,Campeche,692549.897,564591.056,-18.47647968100124
Peña Nieto,Chiapas,360620.977,353600.113,-1.946881753359567
Peña Nieto,Chihuahua,732550.603,853322.804,16.48653355896562
Peña Nieto,Ciudad de México,3363394.325,3694574.874,9.846616750773034
Peña Nieto,Coahuila de Zaragoza,864429.383,966054.662,11.756342507390215
Peña Nieto,Colima,133729.296,153808.394,15.014733944310898
Peña Nieto,Durango,299615.205,308981.254,3.12602593049308
Peña Nieto,Guanajuato,931176.5,1120602.844,20.34268949012352
Peña Nieto,Guerrero,299721.333,317844.942,6.046819830472327
Peña Nieto,Hidalgo,379719.808,418630.444,10.247196796222966
Peña Nieto,Jalisco,1514072.597,1754179.51,15.85834876582209
Peña Nieto,Michoacán de Ocampo,533525.806,633756.559,18.786486402871397
Peña Nieto,Morelos,258139.365,273244.597,5.85158021133275
Peña Nieto,México,1923371.619,2243797.97,16.65961730092474
Peña Nieto,Nayarit,145073.201,155757.538,7.364790275772573
Peña Nieto,Nuevo León,1611568.788,1909026.435,18.457645073230353
Peña Nieto,Oaxaca,397816.027,383159.646,-3.6842107922414082
Peña Nieto,Puebla,735647.501,849556.003,15.484114585471822
Peña Nieto,Querétaro,522047.708,611367.75,17.109555435496716
Peña Nieto,Quintana Roo,289182.389,377340.667,30.4853550400678
Peña Nieto,San Luis Potosí,450257.199,557795.952,23.883849772716243
Peña Nieto,Sinaloa,465716.02,527714.061,13.31241321696427
Peña Nieto,Sonora,709513.53,782097.739,10.230137401326218
Peña Nieto,Tabasco,597199.661,471565.25,-21.037254239164742
Peña Nieto,Tamaulipas,680107.018,732093.584,7.643880245917413
Peña Nieto,Tlaxcala,128120.564,147752.939,15.323359800383033
Peña Nieto,Veracruz de Ignacio de la Llave,1074459.351,1029905.4,-4.146639047678594
Peña Nieto,Yucatán,302445.463,364797.901,20.616093024348007
Peña Nieto,Zacatecas,196163.855,228388.213,16.427265869137806
Vicente Fox,Aguascalientes,167309.35,200318.265,19.729270958257867
Vicente Fox,Baja California,730554.237,772686.808,5.767206439458375
Vicente Fox,Baja California Sur,99668.467,126685.37,27.106770890737174
Vicente Fox,Campeche,892409.088,959641.063,7.533761803196695
Vicente Fox,Chiapas,308418.26,321113.546,4.1162562813239285
Vicente Fox,Chihuahua,554947.182,635597.824,14.533030280348372
Vicente Fox,Ciudad de México,2870934.157,3134225.217,9.17091948479681
Vicente Fox,Coahuila de Zaragoza,657960.994,798549.101,21.367240350421152
Vicente Fox,Colima,108484.812,114843.833,5.861669373589359
Vicente Fox,Durango,217801.317,241373.384,10.822738505295622
Vicente Fox,Guanajuato,657506.762,769496.263,17.03244855754047
Vicente Fox,Guerrero,258793.422,280082.837,8.226412725436278
Vicente Fox,Hidalgo,334079.072,349080.409,4.490355205488598
Vicente Fox,Jalisco,1237977.396,1340006.101,8.241564452603308
Vicente Fox,Michoacán de Ocampo,440699.835,485161.704,10.088923450584002
Vicente Fox,Morelos,214338.523,232043.608,8.260337316964726
Vicente Fox,México,1571190.184,1710985.648,8.897424730856144
Vicente Fox,Nayarit,119642.886,135896.556,13.585153738267408
Vicente Fox,Nuevo León,1213057.555,1469583.898,21.147087534523465
Vicente Fox,Oaxaca,358564.555,380271.447,6.0538309482374775
Vicente Fox,Puebla,573874.347,650292.566,13.316193588280406
Vicente Fox,Querétaro,368073.905,427146.948,16.04923418844374
Vicente Fox,Quintana Roo,189902.126,234332.557,23.396489515867778
Vicente Fox,San Luis Potosí,307856.591,377360.11,22.576589565366806
Vicente Fox,Sinaloa,383669.662,411251.1,7.188850391824821
Vicente Fox,Sonora,573834.854,605738.979,5.559809547574117
Vicente Fox,Tabasco,417100.655,478124.997,14.63060325330823
Vicente Fox,Tamaulipas,538197.19,657147.376,22.101599229828775
Vicente Fox,Tlaxcala,116176.586,117236.121,0.9120039041257448
Vicente Fox,Veracruz de Ignacio de la Llave,882374.528,992039.256,12.428365112552296
Vicente Fox,Yucatán,237095.381,270589.952,14.127044929652172
Vicente Fox,Zacatecas,129056.61,159901.098,23.899967618861208
